%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	vlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF	connG	connNumPCnt	connNumBCnt
A	1	0x0400000000004000	1650736633.33575	1650736633.3505	0.01475	1	3	eth:ipv4:tcp	08:00:27:27:0f:cb	08:00:27:b0:47:08	0x0800		192.168.100.2	7	Private network	40299	192.168.100.3	7	Private network	502	6	0x00	1	08:00:27:27:0f:cb_08:00:27:b0:47:08_6	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	6	4	12	9	0	12	2.0	5.396913	0	0.008044	0.002458333	0.003228935	406.7797	813.5593	0.2	0.1428571	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	205403094	5	12	0	5	9	0	12	64240	64253.31	64240	64256	0	1	1	0	0x011b	0x0000	6	20	0x0000011e	1460	128	0x0000	0x00	0	0x00	3292465988	151455858	0.001	3292466.144384	1647444167.2061162	0.000925984	0.000804992	0.00802	0.002661744	0.003766448	0.000977984	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	8	8	8	1	21	48
B	1	0x0400000000004001	1650736633.336676	1650736633.350492	0.013816	1	3	eth:ipv4:tcp	08:00:27:b0:47:08	08:00:27:27:0f:cb	0x0800		192.168.100.3	7	Private network	502	192.168.100.2	7	Private network	40299	6	0x00	1	08:00:27:b0:47:08_08:00:27:27:0f:cb_4	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	4	6	9	12	0	9	2.25	4.743416	0	0.007215	0.003454	0.003446803	289.5194	651.4186	-0.2	-0.1428571	0x0213	1	21724	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3791249248	4	9	0	4	12	0	9	65160	65154.75	65152	65160	1	0	0	0	0x031b	0x0000	4	14	0x0000011e	1460	128	0x0000	0x00	0	0x00	151455858	3292465987	0.001	151455.865194	1650585177.3781264	5.2e-05	8e-06	0.004052992	0.0008393333	0.001644354	0.003501077	0.004109748	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	7	7	7	1	13	9
A	2	0x0400000000004000	1650736634.556128	1650736636.563848	2.00772	1	3	eth:ipv4:tcp	08:00:27:27:0f:cb	08:00:27:b0:47:08	0x0800		192.168.100.2	7	Private network	34561	192.168.100.3	7	Private network	502	6	0x00	1	08:00:27:27:0f:cb_08:00:27:b0:47:08_5	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	5	3	12	0	0	12	2.4	5.813776	0	2.004781	0.401544	0.9238335	2.490387	5.976929	0.25	1.0	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1501349111	4	12	0	4	0	0	12	64240	64252.16	64240	64256	0	1	1	0	0x011b	0x0000	5	17	0x0000011e	1460	128	0x0000	0x00	0	0x00	3292469202	151459073	0.001	3292469.358384	1647444167.205464	0.00044	0.000372032	0.002182976	0.0009983361	0.001026679	0.000456	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	8	8	8	1	26	60
B	2	0x0400000000004001	1650736634.556568	1650736636.563811	2.007243	1	3	eth:ipv4:tcp	08:00:27:b0:47:08	08:00:27:27:0f:cb	0x0800		192.168.100.3	7	Private network	502	192.168.100.2	7	Private network	34561	6	0x00	1	08:00:27:b0:47:08_08:00:27:27:0f:cb_3	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	3	5	0	12	0	0	0.0	0.0	0	2.006592	0.669081	1.158319	1.494587	0.0	-0.25	-1.0	0x0213	1	14813	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	333494288	3	0	0	3	12	0	0	65160	65155.92	65152	65160	1	0	0	0	0x0313	0x3000	3	11	0x0000011e	1460	128	0x0000	0x00	0	0x00	151459073	3292469199	0.001	151459.080194	1650585177.483617	1.6e-05	1.6e-05	2.004409	0.4009514	0.9239463	0.4019497	0.9239469	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	7	7	7	1	16	9
A	3	0x0400000000004000	1650736637.769583	1650736639.77735	2.007767	1	3	eth:ipv4:tcp	08:00:27:27:0f:cb	08:00:27:b0:47:08	0x0800		192.168.100.2	7	Private network	45237	192.168.100.3	7	Private network	502	6	0x00	1	08:00:27:27:0f:cb_08:00:27:b0:47:08_5	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	5	3	12	0	0	12	2.4	5.813776	0	2.004892	0.4015534	0.9238842	2.490329	5.976789	0.25	1.0	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2602381698	4	12	0	4	0	0	12	64240	64252.16	64240	64256	0	1	1	0	0x011b	0x0000	5	17	0x0000011e	1460	128	0x0000	0x00	0	0x00	3292472415	151462288	0.001	3292472.571384	1647444167.205966	0.000955008	0.000790976	0.001264	0.001003328	0.0002448086	0.001021056	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	8	8	8	1	31	72
B	3	0x0400000000004001	1650736637.770538	1650736639.777258	2.00672	1	3	eth:ipv4:tcp	08:00:27:b0:47:08	08:00:27:27:0f:cb	0x0800		192.168.100.3	7	Private network	502	192.168.100.2	7	Private network	45237	6	0x00	1	08:00:27:b0:47:08_08:00:27:27:0f:cb_3	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	3	5	0	12	0	0	0.0	0.0	0	2.005365	0.6689066	1.157407	1.494977	0.0	-0.25	-1.0	0x0213	1	36356	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2999827932	3	0	0	3	12	0	0	65160	65155.92	65152	65160	1	0	0	0	0x0313	0x3000	3	11	0x0000011e	1460	128	0x0000	0x00	0	0x00	151462288	3292472414	0.001	151462.295194	1650585177.482064	6.6048e-05	6.6048e-05	2.004101	0.4009778	0.9237532	0.4019812	0.9237533	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	7	7	7	1	19	9
A	4	0x0400000000004000	1650736640.981859	1650736642.987663	2.005804	1	3	eth:ipv4:tcp	08:00:27:27:0f:cb	08:00:27:b0:47:08	0x0800		192.168.100.2	7	Private network	35075	192.168.100.3	7	Private network	502	6	0x00	1	08:00:27:27:0f:cb_08:00:27:b0:47:08_5	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	5	3	12	0	0	12	2.4	5.813776	0	2.00314	0.4011608	0.9230947	2.492766	5.982638	0.25	1.0	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	322373770	4	12	0	4	0	0	12	64240	64252.16	64240	64256	0	1	1	0	0x011b	0x0000	5	17	0x0000011e	1460	128	0x0000	0x00	0	0x00	3292475625	151465500	0.001	3292475.781384	1647444167.2062788	0.000984	0.000614976	0.000984	0.0007946667	0.0001934262	0.001043968	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	8	8	8	1	36	84
B	4	0x0400000000004001	1650736640.982843	1650736642.987651	2.004808	1	3	eth:ipv4:tcp	08:00:27:b0:47:08	08:00:27:27:0f:cb	0x0800		192.168.100.3	7	Private network	502	192.168.100.2	7	Private network	35075	6	0x00	1	08:00:27:b0:47:08_08:00:27:27:0f:cb_3	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	3	5	0	12	0	0	0.0	0.0	0	2.00297	0.6682693	1.155885	1.496403	0.0	-0.25	-1.0	0x0213	1	53568	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3525458722	3	0	0	3	12	0	0	65160	65155.92	65152	65160	1	0	0	0	0x0313	0x3000	3	11	0x0000011e	1460	128	0x0000	0x00	0	0x00	151465500	3292475625	0.001	151465.507194	1650585177.4804568	5.9968e-05	1.1968e-05	2.002355	0.400708	0.9229011	0.4015026	0.9229011	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	7	7	7	1	22	9
A	5	0x0400000000004000	1650736644.194739	1650736646.200933	2.006194	1	3	eth:ipv4:tcp	08:00:27:27:0f:cb	08:00:27:b0:47:08	0x0800		192.168.100.2	7	Private network	38039	192.168.100.3	7	Private network	502	6	0x00	1	08:00:27:27:0f:cb_08:00:27:b0:47:08_5	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	5	3	12	0	0	12	2.4	5.813776	0	2.003518	0.4012388	0.9232715	2.492281	5.981475	0.25	1.0	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	4271770291	4	12	0	4	0	0	12	64240	64252.16	64240	64256	0	1	1	0	0x011b	0x0000	5	17	0x0000011e	1460	128	0x0000	0x00	0	0x00	3292478839	151468715	0.001	3292478.995384	1647444167.3501515	0.000918992	0.000774992	0.001024	0.0009059947	0.000131742	0.000985984	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	8	8	8	1	41	96
B	5	0x0400000000004001	1650736644.195658	1650736646.200901	2.005243	1	3	eth:ipv4:tcp	08:00:27:b0:47:08	08:00:27:27:0f:cb	0x0800		192.168.100.3	7	Private network	502	192.168.100.2	7	Private network	38039	6	0x00	1	08:00:27:b0:47:08_08:00:27:27:0f:cb_3	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	3	5	0	12	0	0	0.0	0.0	0	2.003767	0.6684144	1.15645	1.496078	0.0	-0.25	-1.0	0x0213	1	33073	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1991199077	3	0	0	3	12	0	0	65160	65155.92	65152	65160	1	0	0	0	0x0313	0x3000	3	11	0x0000011e	1460	128	0x0000	0x00	0	0x00	151468715	3292478838	0.001	151468.722194	1650585177.3774672	6.6992e-05	3.2e-05	2.002743	0.400722	0.9231175	0.401628	0.9231175	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	7	7	7	1	25	9
A	6	0x0400000000004000	1650736647.406752	1650736649.412052	2.0053	1	3	eth:ipv4:tcp	08:00:27:27:0f:cb	08:00:27:b0:47:08	0x0800		192.168.100.2	7	Private network	41853	192.168.100.3	7	Private network	502	6	0x00	1	08:00:27:27:0f:cb_08:00:27:b0:47:08_5	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	5	3	12	0	0	12	2.4	5.813776	0	2.002512	0.40106	0.9227924	2.493392	5.984142	0.25	1.0	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	260989185	4	12	0	4	0	0	12	64240	64252.16	64240	64256	0	1	1	0	0x011b	0x0000	5	17	0x0000011e	1460	128	0x0000	0x00	0	0x00	3292482050	151471928	0.001	3292482.206385	1647444167.2056675	0.000983008	0.000726016	0.000983008	0.0008416746	0.0001500311	0.001044992	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	8	8	8	1	46	108
B	6	0x0400000000004001	1650736647.407735	1650736649.412026	2.004291	1	3	eth:ipv4:tcp	08:00:27:b0:47:08	08:00:27:27:0f:cb	0x0800		192.168.100.3	7	Private network	502	192.168.100.2	7	Private network	41853	6	0x00	1	08:00:27:b0:47:08_08:00:27:27:0f:cb_3	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	3	5	0	12	0	0	0.0	0.0	0	2.002602	0.668097	1.155716	1.496789	0.0	-0.25	-1.0	0x0213	1	63928	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1362425320	3	0	0	3	12	0	0	65160	65155.92	65152	65160	1	0	0	0	0x0313	0x3000	3	11	0x0000011e	1460	128	0x0000	0x00	0	0x00	151471928	3292482049	0.001	151471.935195	1650585177.3772798	6.1984e-05	2.6016e-05	2.001786	0.4005798	0.9226472	0.4014215	0.9226472	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	7	7	7	1	28	9
A	7	0x0400000000004000	1650736650.616937	1650736652.62516	2.008223	1	3	eth:ipv4:tcp	08:00:27:27:0f:cb	08:00:27:b0:47:08	0x0800		192.168.100.2	7	Private network	36237	192.168.100.3	7	Private network	502	6	0x00	1	08:00:27:27:0f:cb_08:00:27:b0:47:08_5	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	5	3	12	0	0	12	2.4	5.813776	0	2.005356	0.4016446	0.9240955	2.489763	5.975432	0.25	1.0	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	117819988	4	12	0	4	0	0	12	64240	64252.16	64240	64256	0	1	1	0	0x011b	0x0000	5	17	0x0000011e	1460	128	0x0000	0x00	0	0x00	3292485263	151475142	0.001	3292485.419385	1647444167.2057753	0.000859968	0.000746944	0.000950016	0.0008523093	0.0001068555	0.00092096	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	8	8	8	1	51	120
B	7	0x0400000000004001	1650736650.617797	1650736652.625131	2.007334	1	3	eth:ipv4:tcp	08:00:27:b0:47:08	08:00:27:27:0f:cb	0x0800		192.168.100.3	7	Private network	502	192.168.100.2	7	Private network	36237	6	0x00	1	08:00:27:b0:47:08_08:00:27:27:0f:cb_3	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	3	5	0	12	0	0	0.0	0.0	0	2.005559	0.6691114	1.157398	1.49452	0.0	-0.25	-1.0	0x0213	1	12563	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1999531341	3	0	0	3	12	0	0	65160	65155.92	65152	65160	1	0	0	0	0x0313	0x3000	3	11	0x0000011e	1460	128	0x0000	0x00	0	0x00	151475142	3292485262	0.001	151475.149195	1650585177.4759364	6.0992e-05	2.8992e-05	2.004609	0.4011576	0.923941	0.4020099	0.923941	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	7	7	7	1	31	9
A	8	0x0400000000004000	1650736653.828974	1650736655.837265	2.008291	1	3	eth:ipv4:tcp	08:00:27:27:0f:cb	08:00:27:b0:47:08	0x0800		192.168.100.2	7	Private network	41165	192.168.100.3	7	Private network	502	6	0x00	1	08:00:27:27:0f:cb_08:00:27:b0:47:08_5	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	5	3	12	0	0	12	2.4	5.813776	0	2.004985	0.4016582	0.9238805	2.489679	5.97523	0.25	1.0	0x0a13	1	1	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	243345014	4	12	0	4	0	0	12	64240	64252.16	64240	64256	0	1	1	0	0x011b	0x0000	5	17	0x0000011e	1460	128	0x0000	0x00	0	0x00	3292488475	151478356	0.001	3292488.631385	1647444167.20588	0.000696	0.000614016	0.001641024	0.00098368	0.000571241	0.00073696	0.0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	8	8	8	1	56	132
B	8	0x0400000000004001	1650736653.82967	1650736655.837101	2.007431	1	3	eth:ipv4:tcp	08:00:27:b0:47:08	08:00:27:27:0f:cb	0x0800		192.168.100.3	7	Private network	502	192.168.100.2	7	Private network	41165	6	0x00	1	08:00:27:b0:47:08_08:00:27:27:0f:cb_3	PcsSystem,US_PcsSystem,US	502	asa-appl-proto	3	5	0	12	0	0	0.0	0.0	0	2.006012	0.6691436	1.157762	1.494447	0.0	-0.25	-1.0	0x0213	1	39785	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2996145115	3	0	0	3	12	0	0	65160	65155.92	65152	65160	1	0	0	0	0x0313	0x3000	3	11	0x0000011e	1460	128	0x0000	0x00	0	0x00	151478356	3292488473	0.001	151478.363195	1650585177.473906	4.096e-05	4.096e-05	2.004371	0.4010844	0.9238474	0.402068	0.9238476	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	1	7	7	7	1	34	9
