nombredelpcap,nÂº de flujos
T0888-ScanInfo-OPCUA-Nmap_[2]_flows.csv,76
T0885-C&Cp502RWin-TCP-3_[1]_flows.csv,12
T0843-FileDownload-Modbus_[1]_flows.csv,2
T0885-C&Cp502RWin-TCP_[1]_flows.csv,5
T0831-Modifparam-IEC104_[2]-FIXED_flows.csv,1
T0885-C&Cp502Ignition-HTTP_[1]_flows.csv,7
T0830_MiTM-BacNet-FIXED_[2]_flows.csv,305
T0861-InfoCollect-OPCUA_[2]_flows.csv,5
T0890-EscalPrivileges-NetLogon-FIXED_[2]_flows.csv,388
T0885-C&Cp20000RWin-TCP_[1]_flows.csv,6
T0802-AutoCollect-SNMP_[1]_flows.csv,5
T0888-DiscoverInfo-DNP3_[1]_flows.csv,4
T0809-DataDestroy-OMRON_[2]_flows.csv,1
T0802-AutoCollect-OPCUA_[2]_flows.csv,14
T0843-FileRead-DNP3-FIXED_[1]_flows.csv,9
T0816-StopCommand-S7Comm_[2]_flows.csv,1
T0888-DiscverRegisters2-Modbus_[1]_flows.csv,2
T0846-DiscoveryNmap-S7_[1]_flows.csv,8
T0866-RemoteAccess-VNC_[2]_flows.csv,4
T0888-ScanInfo-ENIP_[2]_flows.csv,2
T0846-Discovery-IEC104_[2]_flows.csv,39
T0831-ModifParam-DNP3-FIXED_[1]_flows.csv,3
T0888-DiscverRegisters-Modbus_[1]_flows.csv,1
T0888-DiscverCoils-Modbus_[1]_flows.csv,1
C&C-port80-RealWin-Server.pcapng-FIX_[1]_flows.csv,7
T0882-DirectoryRead-IEC104_[2]_flows.csv,6
T0843-ProgDownload-IEC104_[2]_flows.csv,7
T0888-ScanInfo-OmronFINS_[2]_flows.csv,5
T0888-DiscverFindID-Modbus_[1]_flows.csv,17
T0843-FileUpload-Modbus_[1]_flows.csv,3
T0836-ModifyParam-OmronFINS_[2]_flows.csv,10
T0846-DiscoveryNmap-Modbus_[1]_flows.csv,5
T0885-C&Cp102Ignition-TCP_[1]_flows.csv,6
T0846-Discovery-BacNet_[2]_flows.csv,4
T0836-ModifParam-Modbus_[1]_flows.csv,1
T0814-DoS-PCC_[1]_flows.csv,9
T0831-Modifparam-IEC104_[2]_flows.csv,13
T0882-DirRead-DNP3-FIXED_[1]_flows.csv,4
T0885-C&Cp502RWin-TCP-2_[1]_flows.csv,4
T0888-ScanInfo-OPCUA-OpcScan_[2]_flows.csv,12
T0888-ScanInfo-MQTT_[2]_flows.csv,4
T0816-ShutDown-Modbus_[1]_flows.csv,1
T0836-ModifParam-S7_[1]_flows.csv,10
T0886-BruteForce-MQTT_[2]_flows.csv,400
T0848-RogueMaster-DNP3-FIXED_[1]_flows.csv,4
RealWin-fixed_[1]_flows.csv,17
T0816-RestartAllenBradley-SNMP_[2]_flows.csv,5
T0816-ShtDownAllenBradley-CIP_[1]_flows.csv,10
ataque-initial-access-RealWin-Server.pcapng-FIX_[1]_flows.csv,17
T0858-ChangeOPMode-Omron_[2]_flows.csv,1
T0846-DiscoverMetasp-Modbus_[1]_flows.csv,1
T0888-ScanInfo-MQTT-noAuth_[2]_flows.csv,28
T0866-VulnAccess-SMBv1_[2]_flows.csv,72
T0843-FileWrite-DNP3-FIXED_[1]_flows.csv,2
T0866-RemoteAccess-VNC_[2]-FIXED_flows.csv,2
T0846-Discovery-BacNet-2_[2]_flows.csv,5
T0814-DoS-OPCUA-Short_[2]_flows.csv,1
T0848-RogueMaster-IEC-104_[2]_flows.csv,10
